breed_a,breed_b,term,delta,rank,direction
NEWFOUNDLAND,GOLDEN RETRIEVER,black,0.24669254372832256,1,A_minus_B
NEWFOUNDLAND,GOLDEN RETRIEVER,newfoundland,0.19067236246903255,2,A_minus_B
NEWFOUNDLAND,GOLDEN RETRIEVER,massive,0.15115232164962533,3,A_minus_B
NEWFOUNDLAND,GOLDEN RETRIEVER,dog,0.1463238591179238,4,A_minus_B
NEWFOUNDLAND,GOLDEN RETRIEVER,white,0.13626397107509305,5,A_minus_B
NEWFOUNDLAND,GOLDEN RETRIEVER,short,0.13506999652163035,6,A_minus_B
NEWFOUNDLAND,GOLDEN RETRIEVER,toes,0.13506999652163035,7,A_minus_B
NEWFOUNDLAND,GOLDEN RETRIEVER,structure,0.12092185731970026,8,A_minus_B
NEWFOUNDLAND,GOLDEN RETRIEVER,brown,0.12048846069606026,9,A_minus_B
NEWFOUNDLAND,GOLDEN RETRIEVER,tail,0.12048846069606026,10,A_minus_B
NEWFOUNDLAND,GOLDEN RETRIEVER,balanced,0.21424116830882087,1,B_minus_A
NEWFOUNDLAND,GOLDEN RETRIEVER,good,0.15478219471327234,2,B_minus_A
NEWFOUNDLAND,GOLDEN RETRIEVER,ins,0.14282744553921392,3,B_minus_A
NEWFOUNDLAND,GOLDEN RETRIEVER,catlike,0.14282744553921392,4,B_minus_A
NEWFOUNDLAND,GOLDEN RETRIEVER,set,0.13900668433423957,5,B_minus_A
NEWFOUNDLAND,GOLDEN RETRIEVER,length,0.13329106199803753,6,B_minus_A
NEWFOUNDLAND,GOLDEN RETRIEVER,powerful,0.11745164875084053,7,B_minus_A
NEWFOUNDLAND,GOLDEN RETRIEVER,kindly,0.11260679859712275,8,B_minus_A
NEWFOUNDLAND,GOLDEN RETRIEVER,blade,0.11260679859712275,9,B_minus_A
NEWFOUNDLAND,GOLDEN RETRIEVER,56,0.11260679859712275,10,B_minus_A
NEWFOUNDLAND,LABRADOR RETRIEVER,black,0.25770117257726644,1,A_minus_B
NEWFOUNDLAND,LABRADOR RETRIEVER,massive,0.15115232164962533,2,A_minus_B
NEWFOUNDLAND,LABRADOR RETRIEVER,newfoundland,0.15100108171798504,3,A_minus_B
NEWFOUNDLAND,LABRADOR RETRIEVER,white,0.1472725999240369,4,A_minus_B
NEWFOUNDLAND,LABRADOR RETRIEVER,brown,0.1314970895450041,5,A_minus_B
NEWFOUNDLAND,LABRADOR RETRIEVER,structure,0.12092185731970026,6,A_minus_B
NEWFOUNDLAND,LABRADOR RETRIEVER,slightly,0.11917022654314534,7,A_minus_B
NEWFOUNDLAND,LABRADOR RETRIEVER,markings,0.11917022654314534,8,A_minus_B
NEWFOUNDLAND,LABRADOR RETRIEVER,croup,0.09533618123451627,9,A_minus_B
NEWFOUNDLAND,LABRADOR RETRIEVER,slight,0.09533618123451627,10,A_minus_B
NEWFOUNDLAND,LABRADOR RETRIEVER,labrador,0.3019079360144004,1,B_minus_A
NEWFOUNDLAND,LABRADOR RETRIEVER,having,0.1509539680072002,2,B_minus_A
NEWFOUNDLAND,LABRADOR RETRIEVER,jaws,0.12846928317793752,3,B_minus_A
NEWFOUNDLAND,LABRADOR RETRIEVER,teeth,0.12846928317793752,4,B_minus_A
NEWFOUNDLAND,LABRADOR RETRIEVER,medium,0.11901384225314249,5,B_minus_A
NEWFOUNDLAND,LABRADOR RETRIEVER,retriever,0.11901384225314249,6,B_minus_A
NEWFOUNDLAND,LABRADOR RETRIEVER,keen,0.1006359786714668,7,B_minus_A
NEWFOUNDLAND,LABRADOR RETRIEVER,distinctive,0.1006359786714668,8,B_minus_A
NEWFOUNDLAND,LABRADOR RETRIEVER,otter,0.1006359786714668,9,B_minus_A
NEWFOUNDLAND,LABRADOR RETRIEVER,wellarched,0.1006359786714668,10,B_minus_A
NEWFOUNDLAND,XOLOITZCUINTLE,black,0.22215671225557448,1,A_minus_B
NEWFOUNDLAND,XOLOITZCUINTLE,newfoundland,0.19067236246903255,2,A_minus_B
NEWFOUNDLAND,XOLOITZCUINTLE,massive,0.15115232164962533,3,A_minus_B
NEWFOUNDLAND,XOLOITZCUINTLE,white,0.14704383935492535,4,A_minus_B
NEWFOUNDLAND,XOLOITZCUINTLE,brown,0.13126832897589255,5,A_minus_B
NEWFOUNDLAND,XOLOITZCUINTLE,toes,0.12427095391850097,6,A_minus_B
NEWFOUNDLAND,XOLOITZCUINTLE,structure,0.12092185731970026,7,A_minus_B
NEWFOUNDLAND,XOLOITZCUINTLE,dog,0.09725219617242767,8,A_minus_B
NEWFOUNDLAND,XOLOITZCUINTLE,general,0.0908883832796819,9,A_minus_B
NEWFOUNDLAND,XOLOITZCUINTLE,relatively,0.09069139298977519,10,A_minus_B
NEWFOUNDLAND,XOLOITZCUINTLE,coated,0.3552945276589808,1,B_minus_A
NEWFOUNDLAND,XOLOITZCUINTLE,hairless,0.3552945276589808,2,B_minus_A
NEWFOUNDLAND,XOLOITZCUINTLE,variety,0.3258229581347147,3,B_minus_A
NEWFOUNDLAND,XOLOITZCUINTLE,skin,0.16918787031380042,4,B_minus_A
NEWFOUNDLAND,XOLOITZCUINTLE,xoloitzcuintle,0.1353502962510403,5,B_minus_A
NEWFOUNDLAND,XOLOITZCUINTLE,smooth,0.11843150921966027,6,B_minus_A
NEWFOUNDLAND,XOLOITZCUINTLE,grey,0.11843150921966027,7,B_minus_A
NEWFOUNDLAND,XOLOITZCUINTLE,absence,0.10151272218828024,8,B_minus_A
NEWFOUNDLAND,XOLOITZCUINTLE,incisors,0.10151272218828024,9,B_minus_A
NEWFOUNDLAND,XOLOITZCUINTLE,elegant,0.10151272218828024,10,B_minus_A
GOLDEN RETRIEVER,LABRADOR RETRIEVER,balanced,0.21424116830882087,1,A_minus_B
GOLDEN RETRIEVER,LABRADOR RETRIEVER,catlike,0.14282744553921392,2,A_minus_B
GOLDEN RETRIEVER,LABRADOR RETRIEVER,ins,0.14282744553921392,3,A_minus_B
GOLDEN RETRIEVER,LABRADOR RETRIEVER,muscular,0.13674736253964487,4,A_minus_B
GOLDEN RETRIEVER,LABRADOR RETRIEVER,good,0.13381718698069045,5,A_minus_B
GOLDEN RETRIEVER,LABRADOR RETRIEVER,level,0.1228085581317466,6,A_minus_B
GOLDEN RETRIEVER,LABRADOR RETRIEVER,set,0.10755917273536672,7,A_minus_B
GOLDEN RETRIEVER,LABRADOR RETRIEVER,deep,0.08554191503747902,8,A_minus_B
GOLDEN RETRIEVER,LABRADOR RETRIEVER,kindly,0.07293551784607524,9,A_minus_B
GOLDEN RETRIEVER,LABRADOR RETRIEVER,ability,0.07293551784607524,10,A_minus_B
GOLDEN RETRIEVER,LABRADOR RETRIEVER,labrador,0.3019079360144004,1,B_minus_A
GOLDEN RETRIEVER,LABRADOR RETRIEVER,having,0.1509539680072002,2,B_minus_A
GOLDEN RETRIEVER,LABRADOR RETRIEVER,developed,0.12846928317793752,3,B_minus_A
GOLDEN RETRIEVER,LABRADOR RETRIEVER,medium,0.11901384225314249,4,B_minus_A
GOLDEN RETRIEVER,LABRADOR RETRIEVER,weatherresistant,0.1006359786714668,5,B_minus_A
GOLDEN RETRIEVER,LABRADOR RETRIEVER,distinctive,0.1006359786714668,6,B_minus_A
GOLDEN RETRIEVER,LABRADOR RETRIEVER,keen,0.1006359786714668,7,B_minus_A
GOLDEN RETRIEVER,LABRADOR RETRIEVER,otter,0.1006359786714668,8,B_minus_A
GOLDEN RETRIEVER,LABRADOR RETRIEVER,malmesbury,0.1006359786714668,9,B_minus_A
GOLDEN RETRIEVER,LABRADOR RETRIEVER,wellarched,0.1006359786714668,10,B_minus_A
GOLDEN RETRIEVER,XOLOITZCUINTLE,balanced,0.21424116830882087,1,A_minus_B
GOLDEN RETRIEVER,XOLOITZCUINTLE,set,0.15984644065690262,2,A_minus_B
GOLDEN RETRIEVER,XOLOITZCUINTLE,good,0.15984644065690262,3,A_minus_B
GOLDEN RETRIEVER,XOLOITZCUINTLE,ins,0.14282744553921392,4,A_minus_B
GOLDEN RETRIEVER,XOLOITZCUINTLE,catlike,0.14282744553921392,5,A_minus_B
GOLDEN RETRIEVER,XOLOITZCUINTLE,powerful,0.13674736253964487,6,A_minus_B
GOLDEN RETRIEVER,XOLOITZCUINTLE,length,0.13140872250078015,7,A_minus_B
GOLDEN RETRIEVER,XOLOITZCUINTLE,level,0.13140872250078015,8,A_minus_B
GOLDEN RETRIEVER,XOLOITZCUINTLE,muscular,0.12594831993651548,9,A_minus_B
GOLDEN RETRIEVER,XOLOITZCUINTLE,general,0.11375087262448996,10,A_minus_B
GOLDEN RETRIEVER,XOLOITZCUINTLE,variety,0.3734910487519728,1,B_minus_A
GOLDEN RETRIEVER,XOLOITZCUINTLE,hairless,0.3552945276589808,2,B_minus_A
GOLDEN RETRIEVER,XOLOITZCUINTLE,coated,0.3552945276589808,3,B_minus_A
GOLDEN RETRIEVER,XOLOITZCUINTLE,skin,0.16918787031380042,4,B_minus_A
