breed,term,tfidf,rank
NEWFOUNDLAND,black,0.28395918682259014,1
NEWFOUNDLAND,dog,0.22085714530645897,2
NEWFOUNDLAND,newfoundland,0.19067236246903255,3
NEWFOUNDLAND,white,0.17353061416936064,4
NEWFOUNDLAND,dogs,0.15775510379032784,5
NEWFOUNDLAND,tail,0.15775510379032784,6
NEWFOUNDLAND,brown,0.15775510379032784,7
NEWFOUNDLAND,massive,0.15115232164962533,8
NEWFOUNDLAND,toes,0.13506999652163035,9
NEWFOUNDLAND,short,0.13506999652163035,10
GOLDEN RETRIEVER,balanced,0.21424116830882087,1
GOLDEN RETRIEVER,good,0.1863332154713379,2
GOLDEN RETRIEVER,set,0.1863332154713379,3
GOLDEN RETRIEVER,level,0.14906657237707033,4
GOLDEN RETRIEVER,length,0.14906657237707033,5
GOLDEN RETRIEVER,dogs,0.14906657237707033,6
GOLDEN RETRIEVER,general,0.14906657237707033,7
GOLDEN RETRIEVER,catlike,0.14282744553921392,8
GOLDEN RETRIEVER,ins,0.14282744553921392,9
GOLDEN RETRIEVER,muscular,0.13674736253964487,10
LABRADOR RETRIEVER,labrador,0.3019079360144004,1
LABRADOR RETRIEVER,having,0.1509539680072002,2
LABRADOR RETRIEVER,strong,0.13129007122661865,3
LABRADOR RETRIEVER,appearance,0.13129007122661865,4
LABRADOR RETRIEVER,dog,0.13129007122661865,5
LABRADOR RETRIEVER,jaws,0.12846928317793752,6
LABRADOR RETRIEVER,developed,0.12846928317793752,7
LABRADOR RETRIEVER,teeth,0.12846928317793752,8
LABRADOR RETRIEVER,retriever,0.11901384225314249,9
LABRADOR RETRIEVER,medium,0.11901384225314249,10
XOLOITZCUINTLE,variety,0.3734910487519728,1
XOLOITZCUINTLE,hairless,0.3552945276589808,2
XOLOITZCUINTLE,coated,0.3552945276589808,3
XOLOITZCUINTLE,skin,0.16918787031380042,4
XOLOITZCUINTLE,hair,0.16774957382475678,5
XOLOITZCUINTLE,dogs,0.15892064888661167,6
XOLOITZCUINTLE,xoloitzcuintle,0.1353502962510403,7
XOLOITZCUINTLE,dog,0.1236049491340313,8
XOLOITZCUINTLE,short,0.11878946863442316,9
XOLOITZCUINTLE,smooth,0.11843150921966027,10
